obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('0',)",32.9039001465,1,0,1029.71150268,29,29,2,3.29039001465,29,29,3724598836.05,3724598836.22,3656793646.87,44.36829,-124.9528,0.0,34.1832875043,29,29,internal_timestamp,576.409973145,29,29,873050,1447804846,4.88280010223,29,29,3656793646.87
"('1',)",32.9253997803,1,0,1029.6974957,29,29,2,3.29253997803,29,29,3724598836.05,3724598836.22,3656793657.87,44.36829,-124.9528,0.0,34.1802499058,29,29,internal_timestamp,574.659973145,29,29,869059,1447804857,4.91090011597,29,29,3656793657.87
"('2',)",32.9457015991,1,0,1029.6760762,29,29,2,3.29457015991,29,29,3724598836.05,3724598836.22,3656793668.87,44.36829,-124.9528,0.0,34.171261743,29,29,internal_timestamp,572.450012207,29,29,873856,1447804868,4.94369983673,29,29,3656793668.87
"('3',)",32.9440002441,1,0,1029.66779129,29,29,2,3.29440002441,29,29,3724598836.05,3724598836.22,3656793679.88,44.36829,-124.9528,0.0,34.1719216688,29,29,internal_timestamp,570.489990234,29,29,882745,1447804879,4.94210004807,29,29,3656793679.88
"('4',)",32.9435005188,1,0,1029.65979243,29,29,2,3.29435005188,29,29,3724598836.05,3724598836.22,3656793690.87,44.36829,-124.9528,0.0,34.1719107065,29,29,internal_timestamp,568.760009766,29,29,869793,1447804890,4.94239997864,29,29,3656793690.87
"('5',)",32.9425010681,1,0,1029.65222014,29,29,2,3.29425010681,29,29,3724598836.05,3724598836.22,3656793701.88,44.36829,-124.9528,0.0,34.1722378144,29,29,internal_timestamp,567.039978027,29,29,876210,1447804901,4.94180011749,29,29,3656793701.88
"('6',)",32.9418983459,1,0,1029.64312869,29,29,2,3.29418983459,29,29,3724598836.06,3724598836.22,3656793712.87,44.36829,-124.9528,0.0,34.1723415972,29,29,internal_timestamp,565.049987793,29,29,871357,1447804912,4.94199991226,29,29,3656793712.87
"('7',)",32.9418983459,1,0,1029.63431895,29,29,2,3.29418983459,29,29,3724598836.06,3724598836.22,3656793723.88,44.36829,-124.9528,0.0,34.1724916958,29,29,internal_timestamp,563.130004883,29,29,879538,1447804923,4.94280004501,29,29,3656793723.88
"('8',)",32.9496994019,1,0,1029.6219678,29,29,2,3.29496994019,29,29,3724598836.06,3724598836.22,3656793734.87,44.36829,-124.9528,0.0,34.169989824,29,29,internal_timestamp,561.210021973,29,29,873989,1447804934,4.95499992371,29,29,3656793734.87
"('9',)",32.9603996277,1,0,1029.61037514,29,29,2,3.29603996277,29,29,3724598836.06,3724598836.22,3656793745.88,44.36829,-124.9528,0.0,34.1686730726,29,29,internal_timestamp,559.309997559,29,29,879578,1447804945,4.96929979324,29,29,3656793745.88
