obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('0',)",3.50119996071,29,13,1026.74258174,29,13,14,3779218469.02,3779218539.22,3772425002.68,44.63218,-124.30797,0.0,internal_timestamp,69.2659988403,29,13,1563436202.68,33.8774986267,29,29,1,7.79580020905,29,29,3772425002.68
"('1',)",3.50121998787,29,13,1026.74282845,29,13,14,3779218469.04,3779218539.22,3772425002.74,44.63218,-124.30797,0.0,internal_timestamp,69.2649993896,29,13,1563436202.74,33.8777999878,29,29,0,7.79570007324,29,29,3772425002.74
"('2',)",3.50148010254,29,13,1026.74491063,29,13,14,3779218469.04,3779218539.22,3772425002.81,44.63218,-124.30797,0.0,internal_timestamp,69.2630004883,29,13,1563436202.81,33.8805007935,29,29,0,7.79589986801,29,29,3772425002.81
"('3',)",3.50119996071,29,13,1026.74267729,29,13,14,3779218469.04,3779218539.22,3772425002.87,44.63218,-124.30797,0.0,internal_timestamp,69.2659988403,29,13,1563436202.87,33.8776016235,29,29,0,7.79570007324,29,29,3772425002.87
"('4',)",3.50121998787,29,13,1026.74264342,29,13,14,3779218469.04,3779218539.22,3772425002.93,44.63218,-124.30797,0.0,internal_timestamp,69.2649993896,29,13,1563436202.93,33.8776016235,29,29,0,7.79589986801,29,29,3772425002.93
"('5',)",3.49942994118,29,13,1026.73356837,29,13,14,3779218469.04,3779218539.22,3772425002.99,44.63218,-124.30797,0.0,internal_timestamp,69.263999939,29,13,1563436202.99,33.8647994995,29,29,0,7.7891998291,29,29,3772425002.99
"('6',)",3.49904990196,29,13,1026.73465273,29,13,14,3779218469.04,3779218539.22,3772425003.06,44.63218,-124.30797,0.0,internal_timestamp,69.2679977417,29,13,1563436203.06,33.8652992249,29,29,0,7.78459978104,29,29,3772425003.06
"('7',)",3.50132989883,29,13,1026.7448938,29,13,14,3779218469.04,3779218539.22,3772425003.12,44.63218,-124.30797,0.0,internal_timestamp,69.2630004883,29,13,1563436203.12,33.8801994324,29,29,0,7.79440021515,29,29,3772425003.12
"('8',)",3.50099992752,29,13,1026.74413071,29,13,14,3779218469.04,3779218539.22,3772425003.18,44.63218,-124.30797,0.0,internal_timestamp,69.2659988403,29,13,1563436203.18,33.8787994385,29,29,0,7.7922000885,29,29,3772425003.18
"('9',)",3.50043010712,29,13,1026.74214352,29,13,14,3779218469.04,3779218539.22,3772425003.25,44.63218,-124.30797,0.0,internal_timestamp,69.263999939,29,13,1563436203.25,33.8757019043,29,29,0,7.78910017014,29,29,3772425003.25
"('10',)",3.49978995323,29,13,1026.73944088,29,13,14,3779218469.04,3779218539.22,3772425003.31,44.63218,-124.30797,0.0,internal_timestamp,69.263999939,29,13,1563436203.31,33.8717002869,29,29,0,7.78609991074,29,29,3772425003.31
"('11',)",3.49926996231,29,13,1026.73683194,29,13,14,3779218469.04,3779218539.22,3772425003.37,44.63218,-124.30797,0.0,internal_timestamp,69.2679977417,29,13,1563436203.37,33.8680000305,29,29,0,7.7842001915,29,29,3772425003.37
"('12',)",3.49909996986,29,13,1026.73607725,29,13,14,3779218469.04,3779218539.22,3772425003.43,44.63218,-124.30797,0.0,internal_timestamp,69.2659988403,29,13,1563436203.43,33.8669013977,29,29,0,7.78340005875,29,29,3772425003.43
"('13',)",3.49904990196,29,13,1026.73597248,29,13,14,3779218469.04,3779218539.22,3772425003.49,44.63218,-124.30797,0.0,internal_timestamp,69.2649993896,29,13,1563436203.49,33.8666992188,29,29,0,7.78299999237,29,29,3772425003.49
"('14',)",3.49903011322,29,13,1026.73646187,29,13,14,3779218469.04,3779218539.22,3772425003.56,44.63218,-124.30797,0.0,internal_timestamp,69.266998291,29,13,1563436203.56,33.8671989441,29,29,0,7.78240013123,29,29,3772425003.56
"('15',)",3.49900007248,29,13,1026.73717405,29,13,14,3779218469.04,3779218539.22,3772425003.62,44.63218,-124.30797,0.0,internal_timestamp,69.266998291,29,13,1563436203.62,33.8679008484,29,29,0,7.7813000679,29,29,3772425003.62
"('16',)",3.49896001816,29,13,1026.73809506,29,13,14,3779218469.04,3779218539.22,3772425003.68,44.63218,-124.30797,0.0,internal_timestamp,69.2689971924,29,13,1563436203.68,33.8688011169,29,29,0,7.77990007401,29,29,3772425003.68
"('17',)",3.49892997742,29,13,1026.73889218,29,13,14,3779218469.04,3779218539.22,3772425003.74,44.63218,-124.30797,0.0,internal_timestamp,69.2679977417,29,13,1563436203.74,33.8695983887,29,29,0,7.77869987488,29,29,3772425003.74
"('18',)",3.49890995026,29,13,1026.73968136,29,13,14,3779218469.04,3779218539.22,3772425003.81,44.63218,-124.30797,0.0,internal_timestamp,69.2710037231,29,13,1563436203.81,33.8703994751,29,29,0,7.77769994736,29,29,3772425003.81
"('19',)",3.49889993668,29,13,1026.74061793,29,13,14,3779218469.04,3779218539.23,3772425003.87,44.63218,-124.30797,0.0,internal_timestamp,69.2689971924,29,13,1563436203.87,33.8713989258,29,29,0,7.77659988403,29,29,3772425003.87
"('20',)",3.49890995026,29,13,1026.74174085,29,13,14,3779218469.04,3779218539.23,3772425003.93,44.63218,-124.30797,0.0,internal_timestamp,69.2730026245,29,29,1563436203.93,33.8726005554,29,29,0,7.77549982071,29,29,3772425003.93
"('21',)",3.49892997742,29,13,1026.74282774,29,13,14,3779218469.04,3779218539.23,3772425003.99,44.63218,-124.30797,0.0,internal_timestamp,69.2730026245,29,29,1563436203.99,33.8737983704,29,29,0,7.77449989319,29,29,3772425003.99
"('22',)",3.498939991,29,13,1026.74366543,29,13,14,3779218469.04,3779218539.23,3772425004.06,44.63218,-124.30797,0.0,internal_timestamp,69.2760009766,29,29,1563436204.06,33.8746986389,29,29,0,7.77370023727,29,29,3772425004.06
"('23',)",3.49895000458,29,13,1026.74393137,29,13,14,3779218469.04,3779218539.23,3772425004.12,44.63218,-124.30797,0.0,internal_timestamp,69.2760009766,29,29,1563436204.12,33.875,29,29,0,7.77349996567,29,29,3772425004.12
"('24',)",3.49896001816,29,13,1026.74365913,29,13,14,3779218469.04,3779218539.23,3772425004.18,44.63218,-124.30797,0.0,internal_timestamp,69.28099823,29,29,1563436204.18,33.8746986389,29,29,0,7.77390003204,29,29,3772425004.18
"('25',)",3.49898004532,29,13,1026.74268953,29,13,14,3779218469.04,3779218539.23,3772425004.98,44.63218,-124.30797,0.0,internal_timestamp,69.2789993286,29,29,1563436204.98,33.8736991882,29,29,0,7.77510023117,29,29,3772425004.98
"('26',)",3.49902009964,29,13,1026.74151856,29,13,14,3779218469.04,3779218539.23,3772425005.0,44.63218,-124.30797,0.0,internal_timestamp,69.2829971313,29,29,1563436205.0,33.8725013733,29,29,0,7.77680015564,29,29,3772425005.0
"('27',)",3.49904990196,29,13,1026.74034546,29,13,14,3779218469.04,3779218539.23,3772425005.0,44.63218,-124.30797,0.0,internal_timestamp,69.283996582,29,29,1563436205.0,33.8712997437,29,29,0,7.77839994431,29,29,3772425005.0
"('28',)",3.4990799427,29,13,1026.73993311,29,13,14,3779218469.04,3779218539.23,3772425005.01,44.63218,-124.30797,0.0,internal_timestamp,69.2850036621,29,29,1563436205.01,33.8708992004,29,29,0,7.77909994125,29,29,3772425005.01
"('29',)",3.49908995628,29,13,1026.74059589,29,13,14,3779218469.04,3779218539.23,3772425005.02,44.63218,-124.30797,0.0,internal_timestamp,69.2870025635,29,29,1563436205.02,33.8716011047,29,29,0,7.77839994431,29,29,3772425005.02
"('30',)",3.49908995628,29,13,1026.74227775,29,13,14,3779218469.04,3779218539.23,3772425005.02,44.63218,-124.30797,0.0,internal_timestamp,69.2880020142,29,29,1563436205.02,33.8734016418,29,29,0,7.77659988403,29,29,3772425005.02
"('31',)",3.49906992912,29,13,1026.74417383,29,13,14,3779218469.04,3779218539.23,3772425005.03,44.63218,-124.30797,0.0,internal_timestamp,69.2890014648,29,29,1563436205.03,33.8754005432,29,29,0,7.77440023422,29,29,3772425005.03
"('32',)",3.49905991554,29,13,1026.74542854,29,13,14,3779218469.04,3779218539.23,3772425005.03,44.63218,-124.30797,0.0,internal_timestamp,69.2919998169,29,29,1563436205.03,33.876701355,29,29,0,7.77290010452,29,29,3772425005.03
"('33',)",3.49903011322,29,13,1026.74539155,29,13,14,3779218469.04,3779218539.23,3772425005.04,44.63218,-124.30797,0.0,internal_timestamp,69.2919998169,29,29,1563436205.04,33.8765983582,29,29,0,7.77260017395,29,29,3772425005.04
"('34',)",3.49901008606,29,13,1026.74466308,29,13,14,3779218469.04,3779218539.23,3772425005.04,44.63218,-124.30797,0.0,internal_timestamp,69.2919998169,29,29,1563436205.04,33.8758010864,29,29,0,7.7733001709,29,29,3772425005.04
"('35',)",3.49900007248,29,13,1026.7436465,29,13,14,3779218469.04,3779218539.23,3772425005.05,44.63218,-124.30797,0.0,internal_timestamp,69.2910003662,29,29,1563436205.05,33.8746986389,29,29,0,7.77430009842,29,29,3772425005.05
"('36',)",3.49900007248,29,13,1026.74283,29,13,14,3779218469.04,3779218539.23,3772425005.05,44.63218,-124.30797,0.0,internal_timestamp,69.2990036011,29,29,1563436205.05,33.8737983704,29,29,0,7.77530002594,29,29,3772425005.05
"('37',)",3.49901008606,29,13,1026.74216933,29,13,14,3779218469.04,3779218539.23,3772425005.06,44.63218,-124.30797,0.0,internal_timestamp,69.3000030518,29,29,1563436205.06,33.8731002808,29,29,0,7.77610015869,29,29,3772425005.06
"('38',)",3.49902009964,29,13,1026.74161127,29,13,14,3779218469.04,3779218539.23,3772425005.07,44.63218,-124.30797,0.0,internal_timestamp,69.3000030518,29,29,1563436205.07,33.8725013733,29,29,0,7.77670001984,29,29,3772425005.07
"('39',)",3.4989900589,29,13,1026.74082484,29,13,14,3779218469.04,3779218539.23,3772425005.12,44.63218,-124.30797,0.0,internal_timestamp,69.3050003052,29,29,1563436205.12,33.8716011047,29,29,0,7.77740001678,29,29,3772425005.12
"('40',)",3.49895000458,29,13,1026.74015102,29,13,14,3779218469.04,3779218539.23,3772425005.18,44.63218,-124.30797,0.0,internal_timestamp,69.3079986572,29,29,1563436205.18,33.8708000183,29,29,0,7.77780008316,29,29,3772425005.18
"('41',)",3.49889993668,29,13,1026.73956604,29,13,14,3779218469.04,3779218539.23,3772425005.24,44.63218,-124.30797,0.0,internal_timestamp,69.3069992065,29,29,1563436205.24,33.870098114,29,29,0,7.77799987793,29,29,3772425005.24
"('42',)",3.49886989594,29,13,1026.73908021,29,13,14,3779218469.04,3779218539.23,3772425005.31,44.63218,-124.30797,0.0,internal_timestamp,69.3099975586,29,29,1563436205.31,33.8694992065,29,29,0,7.77820014954,29,29,3772425005.31
