obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3722585247.67,8,3.6568300724,3742914144.91,3742914145.3,3722585247.67,0.0,internal_timestamp,76.4850006104,1513596447.67,33.0032997131,1,10.4469003677,1025.66851773,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('1',)",3722585247.73,8,3.65679001808,3742914144.91,3742914145.3,3722585247.73,0.0,internal_timestamp,76.4919967651,1513596447.73,33.0027999878,0,10.4469995499,1025.6681432,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('2',)",3722585247.8,8,3.65675997734,3742914144.91,3742914145.3,3722585247.8,0.0,internal_timestamp,76.4850006104,1513596447.8,33.0024986267,0,10.4469995499,1025.66787662,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('3',)",3722585247.86,8,3.6568300724,3742914144.91,3742914145.3,3722585247.86,0.0,internal_timestamp,76.4850006104,1513596447.86,33.0032997131,0,10.4469995499,1025.66850061,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('4',)",3722585247.92,8,3.65679001808,3742914144.91,3742914145.3,3722585247.92,0.0,internal_timestamp,76.4919967651,1513596447.92,33.0027999878,0,10.4469995499,1025.6681432,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('5',)",3722585247.98,8,3.65608000755,3742914144.91,3742914145.3,3722585247.98,0.0,internal_timestamp,76.4929962158,1513596447.98,32.9977989197,0,10.4447002411,1025.66464912,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('6',)",3722585248.05,8,3.65596008301,3742914144.91,3742914145.3,3722585248.05,0.0,internal_timestamp,76.4889984131,1513596448.05,32.9957008362,0,10.445599556,1025.66284145,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('7',)",3722585248.11,8,3.65669989586,3742914144.91,3742914145.3,3722585248.11,0.0,internal_timestamp,76.4850006104,1513596448.11,33.0023994446,0,10.4463996887,1025.66790291,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('8',)",3722585248.17,8,3.65653991699,3742914144.91,3742914145.3,3722585248.17,0.0,internal_timestamp,76.4889984131,1513596448.17,33.0012016296,0,10.4460000992,1025.66705706,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('9',)",3722585248.23,8,3.65634989738,3742914144.91,3742914145.3,3722585248.23,0.0,internal_timestamp,76.4909973145,1513596448.23,32.9995994568,0,10.4456996918,1025.66587002,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('10',)",3722585248.3,8,3.65615010262,3742914144.91,3742914145.31,3722585248.3,0.0,internal_timestamp,76.4929962158,1513596448.3,32.9981002808,0,10.4451999664,1025.66479761,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('11',)",3722585248.36,8,3.65596008301,3742914144.91,3742914145.31,3722585248.36,0.0,internal_timestamp,76.4889984131,1513596448.36,32.9970016479,0,10.4441995621,1025.66409631,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('12',)",3722585248.42,8,3.65580010414,3742914144.91,3742914145.31,3722585248.42,0.0,internal_timestamp,76.4929962158,1513596448.42,32.9967002869,0,10.442700386,1025.66413847,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('13',)",3722585248.48,8,3.65563988686,3742914144.91,3742914145.31,3722585248.48,0.0,internal_timestamp,76.4940032959,1513596448.48,32.9967002869,0,10.4409999847,1025.66443645,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
"('14',)",3722585248.55,8,3.65550994873,3742914144.91,3742914145.31,3722585248.55,0.0,internal_timestamp,76.4869995117,1513596448.55,32.9967002869,0,10.4395999908,1025.66464612,29,13,29,21,29,21,29,5,29,29,44.64102,-124.30216
