obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('0',)",3.55896997452,29,13,1026.61915282,29,13,11,3767111113.57,3767111249.47,3748403189.68,44.637117,-124.302617,0.0,internal_timestamp,72.8700027466,29,13,1539414389.68,33.8302993774,29,29,1,8.48089981079,29,29,3748403189.68
"('1',)",3.5589799881,29,13,1026.61922136,29,13,11,3767111113.59,3767111249.47,3748403189.74,44.637117,-124.302617,0.0,internal_timestamp,72.8679962158,29,13,1539414389.74,33.8303985596,29,29,0,8.48089981079,29,29,3748403189.74
"('2',)",3.5589299202,29,13,1026.61882523,29,13,11,3767111113.59,3767111249.47,3748403189.8,44.637117,-124.302617,0.0,internal_timestamp,72.8669967651,29,13,1539414389.8,33.8298988342,29,29,0,8.48089981079,29,29,3748403189.8
"('3',)",3.55896997452,29,13,1026.61923054,29,13,11,3767111113.59,3767111249.47,3748403189.87,44.637117,-124.302617,0.0,internal_timestamp,72.8700027466,29,13,1539414389.87,33.8303985596,29,29,0,8.48089981079,29,29,3748403189.87
"('4',)",3.5589799881,29,13,1026.61922136,29,13,11,3767111113.59,3767111249.47,3748403189.93,44.637117,-124.302617,0.0,internal_timestamp,72.8679962158,29,13,1539414389.93,33.8303985596,29,29,0,8.48089981079,29,29,3748403189.93
"('5',)",3.55889010429,29,13,1026.61852679,29,13,11,3767111113.59,3767111249.47,3748403190.15,44.637117,-124.302617,0.0,internal_timestamp,72.8669967651,29,13,1539414390.15,33.829498291,29,29,1,8.48079967499,29,29,3748403190.15
"('6',)",3.5589299202,29,13,1026.61864356,29,13,11,3767111113.59,3767111249.47,3748403190.16,44.637117,-124.302617,0.0,internal_timestamp,72.8679962158,29,13,1539414390.16,33.82970047,29,29,0,8.4811000824,29,29,3748403190.16
"('7',)",3.55888009071,29,13,1026.61843367,29,13,11,3767111113.59,3767111249.47,3748403190.17,44.637117,-124.302617,0.0,internal_timestamp,72.8669967651,29,13,1539414390.17,33.8293991089,29,29,0,8.48089981079,29,29,3748403190.17
"('8',)",3.55882000923,29,13,1026.61797358,29,13,11,3767111113.59,3767111249.47,3748403190.18,44.637117,-124.302617,0.0,internal_timestamp,72.8690032959,29,13,1539414390.18,33.8288002014,29,29,0,8.48089981079,29,29,3748403190.18
"('9',)",3.55879998207,29,13,1026.61771743,29,13,11,3767111113.59,3767111249.47,3748403190.24,44.637117,-124.302617,0.0,internal_timestamp,72.8679962158,29,13,1539414390.24,33.8284988403,29,29,0,8.48099994659,29,29,3748403190.24
"('10',)",3.55883002281,29,13,1026.61787127,29,13,11,3767111113.59,3767111249.47,3748403190.31,44.637117,-124.302617,0.0,internal_timestamp,72.8669967651,29,13,1539414390.31,33.8287010193,29,29,0,8.48099994659,29,29,3748403190.31
"('11',)",3.55889010429,29,13,1026.61832971,29,13,11,3767111113.59,3767111249.47,3748403190.37,44.637117,-124.302617,0.0,internal_timestamp,72.8679962158,29,13,1539414390.37,33.8292999268,29,29,0,8.4811000824,29,29,3748403190.37
"('12',)",3.5589799881,29,13,1026.6190197,29,13,11,3767111113.59,3767111249.47,3748403190.43,44.637117,-124.302617,0.0,internal_timestamp,72.8679962158,29,13,1539414390.43,33.8302001953,29,29,0,8.4812002182,29,29,3748403190.43
"('13',)",3.55901002884,29,13,1026.61924212,29,13,11,3767111113.59,3767111249.47,3748403190.49,44.637117,-124.302617,0.0,internal_timestamp,72.8649978638,29,13,1539414390.49,33.8305015564,29,29,0,8.4812002182,29,29,3748403190.49
"('14',)",3.559030056,29,13,1026.61940669,29,13,11,3767111113.59,3767111249.47,3748403190.56,44.637117,-124.302617,0.0,internal_timestamp,72.8669967651,29,13,1539414390.56,33.8306999207,29,29,0,8.4812002182,29,29,3748403190.56
"('15',)",3.55905008316,29,13,1026.61947526,29,13,11,3767111113.59,3767111249.47,3748403190.62,44.637117,-124.302617,0.0,internal_timestamp,72.8649978638,29,13,1539414390.62,33.8307991028,29,29,0,8.4812002182,29,29,3748403190.62
"('16',)",3.55905008316,29,13,1026.61947526,29,13,11,3767111113.59,3767111249.47,3748403190.68,44.637117,-124.302617,0.0,internal_timestamp,72.8649978638,29,13,1539414390.68,33.8307991028,29,29,0,8.4812002182,29,29,3748403190.68
"('17',)",3.55904006958,29,13,1026.61940212,29,13,11,3767111113.59,3767111249.47,3748403190.74,44.637117,-124.302617,0.0,internal_timestamp,72.8659973145,29,13,1539414390.74,33.8306999207,29,29,0,8.4812002182,29,29,3748403190.74
"('18',)",3.55904006958,29,13,1026.61938383,29,13,11,3767111113.59,3767111249.47,3748403190.81,44.637117,-124.302617,0.0,internal_timestamp,72.8619995117,29,13,1539414390.81,33.8306999207,29,29,0,8.4812002182,29,29,3748403190.81
"('19',)",3.55904006958,29,13,1026.6193884,29,13,11,3767111113.59,3767111249.47,3748403190.87,44.637117,-124.302617,0.0,internal_timestamp,72.8629989624,29,13,1539414390.87,33.8306999207,29,29,0,8.4812002182,29,29,3748403190.87
"('20',)",3.55905008316,29,13,1026.61938214,29,13,11,3767111113.59,3767111249.47,3748403190.93,44.637117,-124.302617,0.0,internal_timestamp,72.8649978638,29,13,1539414390.93,33.8306999207,29,29,0,8.481300354,29,29,3748403190.93
"('21',)",3.55906009674,29,13,1026.61952842,29,13,11,3767111113.59,3767111249.47,3748403190.99,44.637117,-124.302617,0.0,internal_timestamp,72.8629989624,29,13,1539414390.99,33.8308982849,29,29,0,8.481300354,29,29,3748403190.99
"('22',)",3.55907011032,29,13,1026.61959083,29,13,11,3767111113.59,3767111249.47,3748403191.06,44.637117,-124.302617,0.0,internal_timestamp,72.8590011597,29,29,1539414391.06,33.8310012817,29,29,0,8.481300354,29,29,3748403191.06
"('23',)",3.55907988548,29,13,1026.61959083,29,13,11,3767111113.59,3767111249.47,3748403191.12,44.637117,-124.302617,0.0,internal_timestamp,72.8590011597,29,29,1539414391.12,33.8310012817,29,29,0,8.481300354,29,29,3748403191.12
"('24',)",3.55907011032,29,13,1026.61951013,29,13,11,3767111113.59,3767111249.47,3748403191.82,44.637117,-124.302617,0.0,internal_timestamp,72.8590011597,29,29,1539414391.82,33.8308982849,29,29,0,8.481300354,29,29,3748403191.82
"('25',)",3.55906009674,29,13,1026.61940801,29,13,11,3767111113.59,3767111249.47,3748403191.84,44.637117,-124.302617,0.0,internal_timestamp,72.8570022583,29,29,1539414391.84,33.8307991028,29,29,0,8.48139953613,29,29,3748403191.84
"('26',)",3.55905008316,29,13,1026.61932115,29,13,11,3767111113.59,3767111249.47,3748403191.86,44.637117,-124.302617,0.0,internal_timestamp,72.8550033569,29,29,1539414391.86,33.8306999207,29,29,0,8.48139953613,29,29,3748403191.86
"('27',)",3.55905008316,29,13,1026.61931654,29,13,11,3767111113.59,3767111249.47,3748403191.86,44.637117,-124.302617,0.0,internal_timestamp,72.8539962769,29,29,1539414391.86,33.8306999207,29,29,0,8.48139953613,29,29,3748403191.86
"('28',)",3.55906009674,29,13,1026.61932115,29,13,11,3767111113.59,3767111249.47,3748403191.87,44.637117,-124.302617,0.0,internal_timestamp,72.8550033569,29,29,1539414391.87,33.8306999207,29,29,0,8.48139953613,29,29,3748403191.87
"('29',)",3.55906009674,29,13,1026.61940343,29,13,11,3767111113.59,3767111249.47,3748403191.88,44.637117,-124.302617,0.0,internal_timestamp,72.8560028076,29,29,1539414391.88,33.8307991028,29,29,0,8.48139953613,29,29,3748403191.88
"('30',)",3.55906009674,29,13,1026.61931654,29,13,11,3767111113.59,3767111249.48,3748403191.88,44.637117,-124.302617,0.0,internal_timestamp,72.8539962769,29,29,1539414391.88,33.8306999207,29,29,0,8.48139953613,29,29,3748403191.88
"('31',)",3.55905008316,29,13,1026.61924343,29,13,11,3767111113.59,3767111249.48,3748403191.89,44.637117,-124.302617,0.0,internal_timestamp,72.8550033569,29,29,1539414391.89,33.8306007385,29,29,0,8.48139953613,29,29,3748403191.89
"('32',)",3.55904006958,29,13,1026.61915488,29,13,11,3767111113.59,3767111249.48,3748403191.89,44.637117,-124.302617,0.0,internal_timestamp,72.8560028076,29,29,1539414391.89,33.8305015564,29,29,0,8.48149967194,29,29,3748403191.89
